Home Team Corners,Betbrain maximum Asian handicap away team odds,Away Team Shots on Target,William Hill home win odds,"Half Time Result (H=Home Win, D=Draw, A=Away Win)","Full Time Result (H=Home Win, D=Draw, A=Away Win)",William Hill draw odds,Betbrain average away win odds,Betbrain average Asian handicap home team odds,Bet&Win away win odds,Home Team Shots on Target,Away Team,Betbrain average over 2.5 goals,Home Team,League Division,Full Time Home Team Goals,Home Team Red Cards,Betbrain maximum away win odds,Away Team Corners,Away Team Yellow Cards,VC Bet draw odds,Home Team Yellow Cards,Bet&Win home win odds,William Hill away win odds,Half Time Away Team Goals,Home Team Fouls Committed,Bet365 away win odds,Ladbrokes away win odds,Betbrain maximum draw odds,Betbrain average draw win odds,VC Bet away win odds,Bet365 draw odds,Away Team Fouls Committed,Match Date (dd/mm/yy),Ladbrokes draw odds,Half Time Home Team Goals,Number of BetBrain bookmakers used to calculate match odds averages and maximums,VC Bet home win odds,Away Team Red Cards,Interwetten draw odds,Bet&Win draw odds,Number of BetBrain bookmakers used to calculate over/under 2.5 goals (total goals) averages and maximums,Betbrain average Asian handicap away team odds,Full Time Away Team Goals,Bet365 home win odds,Betbrain maximum Asian handicap home team odds,Away Team Shots,Ladbrokes home win odds,Betbrain maximum under 2.5 goals,Number of BetBrain bookmakers used to Asian handicap averages and maximums,Betbrain average under 2.5 goals,Betbrain maximum home win odds,Betbrain size of handicap (home team),Betbrain maximum over 2.5 goals,Interwetten away win odds,Betbrain average home win odds,Interwetten home win odds,Home Team Shots
13,2.05,9,,D,H,,4.56,1.87,4.2,7,Ath Madrid,1.88,Real Madrid,SP1,2,0,5.09,4,2,3.25,3,1.75,,1,24,4.75,5.0,3.5,3.34,5.0,3.5,20,25/08/07,3.25,1,43,1.65,0,3.4,3.45,33,1.98,1,1.72,1.92,20,1.61,1.95,23.0,1.85,1.91,-0.5,2.0,4.3,1.75,1.7,20
8,2.08,3,,A,H,,7.82,1.86,7.25,10,Getafe,1.87,Sevilla,SP1,4,0,9.55,4,2,3.4,1,1.4,,1,12,9.0,7.0,4.2,3.86,7.5,4.0,17,25/08/07,3.75,0,44,1.45,2,3.7,4.0,33,1.99,1,1.4,1.9,7,1.4,1.95,23.0,1.85,1.48,-1.0,2.0,7.5,1.42,1.4,29
6,2.12,2,,D,D,,3.45,1.81,3.8,2,Osasuna,2.16,Ath Bilbao,SP1,0,1,3.85,4,2,3.2,3,1.9,,0,16,3.6,3.2,3.35,3.18,3.4,3.2,16,26/08/07,3.0,0,44,2.0,0,2.9,3.2,32,2.05,0,2.05,1.85,10,2.1,1.7,23.0,1.61,2.15,-0.25,2.3,3.4,2.06,2.1,14
8,1.92,5,,D,A,,4.33,2.0,4.8,3,Valladolid,2.01,Espanol,SP1,0,0,4.7,4,2,3.1,3,1.7,,0,17,4.5,4.33,3.45,3.24,4.0,3.25,21,26/08/07,3.2,0,43,1.84,0,3.3,3.3,33,1.87,1,1.83,2.11,17,1.72,1.82,23.0,1.72,2.07,-0.5,2.15,4.5,1.82,1.7,7
6,2.14,7,,A,A,,5.14,1.77,5.5,0,Almeria,2.06,La Coruna,SP1,0,0,5.75,5,2,3.25,0,1.55,,2,9,5.0,5.0,3.65,3.42,5.0,3.4,20,26/08/07,3.25,0,44,1.65,0,3.5,3.65,32,2.08,3,1.72,1.83,13,1.61,1.75,22.0,1.68,1.81,-0.5,2.23,5.0,1.66,1.6,7
4,2.01,1,,H,H,,4.16,1.92,4.3,5,Levante,2.12,Mallorca,SP1,3,0,4.8,1,3,3.2,0,1.8,,0,11,4.33,3.75,3.45,3.23,4.0,3.1,25,26/08/07,3.2,1,44,1.8,0,3.1,3.2,32,1.95,0,1.9,1.95,5,1.83,1.75,22.0,1.63,1.94,-0.5,2.28,4.0,1.85,1.85,8
1,1.94,2,,D,H,,2.15,1.97,2.0,6,Zaragoza,2.16,Murcia,SP1,2,0,2.27,0,1,3.1,1,3.45,,1,0,2.15,2.2,3.3,3.17,2.1,3.2,2,26/08/07,3.0,1,42,3.2,1,3.0,3.2,30,1.89,1,3.4,2.03,5,3.0,1.7,22.0,1.61,3.55,0.25,2.35,2.2,3.24,3.1,8
7,1.97,4,,D,D,,3.15,1.95,3.0,4,Betis,2.21,Recreativo,SP1,1,0,3.5,4,2,3.1,0,2.2,,1,16,3.25,2.8,3.3,3.15,2.9,3.2,14,26/08/07,3.1,1,44,2.25,0,3.0,3.2,32,1.92,1,2.2,2.01,13,2.25,1.7,23.0,1.58,2.3,-0.25,2.35,3.1,2.2,2.2,15
4,1.85,3,,D,D,,1.48,2.05,1.45,5,Barcelona,1.86,Santander,SP1,0,1,1.55,8,1,3.4,1,6.5,,0,13,1.44,1.5,4.26,3.75,1.45,4.0,11,26/08/07,3.5,0,43,7.5,0,3.6,3.85,32,1.78,0,7.5,2.17,13,6.0,1.95,23.0,1.86,7.95,1.0,2.0,1.5,6.77,6.0,14
5,1.85,6,,A,A,,4.74,2.09,5.0,1,Villarreal,2.05,Valencia,SP1,0,2,5.15,0,1,3.3,1,1.65,,1,16,5.0,4.33,3.6,3.32,4.5,3.4,13,26/08/07,3.2,0,44,1.7,0,3.2,3.4,32,1.78,3,1.72,2.15,7,1.72,1.75,22.0,1.69,1.8,-0.75,2.2,4.3,1.73,1.75,4
